VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,sdc,MSI,AWMSI,MPFD,AWMPFD,max_tmmx,max_tmmn,min_rmax,max_bi
1987GLEN_AULIN,98,GLEN AULIN,1987,yes,Forest,NPS,YNP,0.0,106,23,21.5,10,19870921,19871120.0,0.017873761713038006,0.06564313273987465,0.031093540018100486,1.3654393170341945,1.3576639948105658,22.291436767578148,4.254144287109398,29.874143600463867,68.53087615966797
1987GULCH_KNF,99,GULCH,1987,no,Forest,USF,KNF,98.74,4435,181,4.1,18,19870830,19871012.0,0.0163089856712516,0.0829040706282434,0.032655098818914124,1.3768202539347394,1.3490756349875244,39.69118652343752,18.246820068359398,31.429885864257812,73.42973327636719
1987GULCH_SHF,100,GULCH,1987,no,Forest,USF,SHF,89.93,2652,789,29.8,520,19870830,19870911.0,0.005680699802972596,0.07368141104253098,0.014870226216120976,1.371301335995161,1.3853757175842463,41.6512390136719,15.027398681640648,55.66996765136719,68.81095123291016
1987HAMM_CMPLX,102,HAMM 87 CMPLX,1987,no,Forest,USF,STF,93.66,13624,2993,22.0,431,19870830,19870913.0,0.006566919669195637,0.07052332257868266,0.01639180995561015,1.36746596242162,1.3517916164040598,36.60231933593752,17.401147460937523,48.118045806884766,59.47439193725586
1987HASLOE_CMPLX,103,HASLOE 87 CMPLX,1987,no,Forest,USF,STF,70.47,2783,1073,38.5,790,19870901,19870907.0,0.005560405611454669,0.07004270812209303,0.011988691679859727,1.372201901710198,1.400381354885742,34.25808105468752,15.907678222656273,52.59340286254883,53.62908172607422
1987HIGHROCK,104,HIGHROCK,1987,no,Forest,USF,MDF,95.35,455,33,7.3,17,19870901,19870912.0,0.010377507346203766,0.07347699553591241,0.023719659884419354,1.3634195848468722,1.3194551317397496,31.586572265625023,13.634515380859398,39.38408660888672,67.69065856933594
1987HOTELLING,105,HOTELLING,1987,no,Forest,USF,KNF,100.0,7453,696,9.3,268,19870830,19871017.0,0.009072434679279867,0.06705433887822407,0.02132611551158743,1.3658034158332117,1.359480746646752,39.1090026855469,17.793695068359398,38.43508529663086,61.50491714477539
1987INDIAN,106,INDIAN,1987,no,Forest,USF,TNF,99.93,3791,1523,40.2,939,19870829,19870911.0,0.004298131576900643,0.07634729057549199,0.01032703520424408,1.3777707236734509,1.3730825072545922,34.6268249511719,18.542047119140648,34.190860748291016,76.614349365234375
1987JARREL,107,JARREL,1987,no,Forest,"USF,NPS",STF,22.55,742,25,3.3,13,19870903,19870912.0,0.015768977852273366,0.07303044139744055,0.03321210365372648,1.3664183555185951,1.331802833162037,28.736016845703148,14.151422119140648,51.38935470581055,62.44171142578125
1987JESSIE,109,JESSIE,1987,no,Forest,USF,SHF,61.0,1385,148,10.7,37,19870830,19870912.0,0.01199010333804352,0.07430298551766971,0.025161040577508034,1.3728222569502964,1.3509822504760485,41.5682312011719,15.016564941406273,57.695556640625,68.78680419921875
1987KELSEY,110,KELSEY,1987,no,Forest,USF,KNF,96.4,1753,96,5.5,46,19870830,19870925.0,0.009123856752188715,0.06898297033745109,0.02105918593473067,1.3658910549073113,1.3319638429133305,37.57106933593752,18.907586669921898,34.854400634765625,76.87993621826172
1987KING_TITUS,111,KING TITUS,1987,no,Forest,USF,KNF,99.21,28891,2092,7.2,132,19870830,19871018.0,0.01052541961194167,0.07308246938491099,0.024728000612090514,1.3709377590345464,1.3473823772168794,39.88448486328127,18.746453857421898,30.85841178894043,70.6072769165039
1987LAKE,112,LAKE,1987,no,Forest,USF,KNF,99.79,7655,247,3.2,41,19870830,19870928.0,0.013168583884215485,0.07247378074717828,0.028861489822045068,1.37050130424369,1.338614225884484,33.41854248046877,18.005670166015648,32.70989227294922,77.97608184814453
1987LARSON_CMPLX,113,LARSON 87 CMPLX,1987,no,Forest,USF,STF,93.35,19551,3752,19.2,754,19870830,19870910.0,0.006043917638143296,0.06760958342776527,0.01715316901984512,1.3646891911299301,1.3494194004117845,34.87227783203127,16.753350830078148,39.65487289428711,59.336769104003906
1987LAUREL,115,LAUREL,1987,no,Forest,USF,INF,85.1,469,112,23.9,51,19870830,19870904.0,0.010535702140749214,0.08055600194528517,0.023160696782322087,1.3754161509019944,1.3493676817701852,23.917108154296898,9.260095214843773,61.573265075683594,55.7755012512207
1987LAZYMAN,116,LAZYMAN,1987,no,Forest,USF,SHF,100.0,606,20,3.3,8,19870901,19870921.0,0.020190173525459536,0.06686563306982846,0.036011937897995734,1.3762261024591345,1.3667840037896515,31.944665527343773,15.485925292968773,43.33850860595703,58.80559539794922
1987LIGHTNING120,117,LIGHTNING #120 (CRANK),1987,no,Forest,CDF,LMU,12.39,1725,853,49.5,661,19870831,19870908.0,0.0037727938003043917,0.08144925928788045,0.00887631710882482,1.37863545688264,1.3640754297126945,32.97744140625002,13.507989501953148,43.142513275146484,60.247005462646484
1987LOST,118,LOST,1987,no,Forest,USF,LNF,95.64,9672,4685,48.4,1674,19870831,19870908.0,0.004817718948961374,0.08553654209066829,0.012059092864971784,1.3791333545454123,1.4201438312467454,34.83553466796877,13.046197509765648,42.95040512084961,66.25166320800781
1987LOST_BEAR,119,LOST BEAR,1987,yes,Forest,NPS,YNP,0.0,809,33,4.1,5,19870723,19871120.0,0.022746771606605206,0.07813351055599571,0.04097034786238887,1.3697941568223488,1.3428293071782846,27.250268554687523,12.985650634765648,25.30154037475586,72.623321533203125
1987MAMMOTH,120,MAMMOTH,1987,no,Forest,USF,INF,99.82,183,36,19.8,36,19870822,19870825.0,0.007185886901085924,0.06324393823783371,0.01310116352773842,1.360698084114147,1.3086312732751342,22.603295898437523,3.6214843750000227,69.76110076904297,61.463871002197266
1987MENDENHALL,121,MENDENHALL,1987,no,Forest,CDF,MEU,57.86,21919,8586,39.2,4875,19870831,19870917.0,0.0038582513965672496,0.07486642952171743,0.011482257424416402,1.3756707378739779,1.4026197891137497,38.05486450195315,17.554711914062523,48.40659713745117,60.30253601074219
1987NIELON,122,NIELON,1987,no,Forest,USF,KNF,100.0,649,199,30.6,186,19870830,19870921.0,0.004107048659264847,0.08871301147942122,0.010256408743428555,1.3891639896944565,1.3381854530745896,34.53435668945315,17.608789062500023,37.59624099731445,57.03582763671875
1987PALMER,123,PALMER,1987,no,Forest,USF,TNF,57.56,862,187,21.7,105,19870829,19870908.0,0.007915977677269242,0.06098913102877576,0.018777997199782816,1.3762838182840595,1.3643259612804426,35.2149597167969,15.907678222656273,39.41216278076172,77.45698547363281
1987PAPER_CMPLX,126,PAPER 87 CMPLX,1987,no,Forest,USF,STF,71.61,15232,4120,27.1,1775,19870831,19871012.0,0.003850412664988028,0.06929433833576851,0.011649049218431054,1.367124222189531,1.3700270068185945,33.4885192871094,17.656365966796898,29.247051239013672,68.51880645751953
1987PEANUT,127,PEANUT,1987,no,Forest,USF,SHF,84.67,2608,599,23.0,208,19870830,19870912.0,0.006813461321632619,0.07430739024002486,0.01787960943846022,1.3723580049674757,1.359514064555514,38.72954711914065,12.926171875000023,65.14112854003906,56.00004196166992
1987PIERCE,128,PIERCE,1987,no,Forest,CDF,TUU,74.57,290,37,12.7,13,19870829,19870905.0,0.01265322448244522,0.04984282218350288,0.02314588127202293,1.3419853127863681,1.3204231195746121,29.396478271484398,14.640222167968773,42.38990020751953,62.75075912475586
1987QUAKING,130,QUAKING,1987,no,Forest,USF,MDF,96.75,1787,464,25.9,201,19870715,19870721.0,0.010205708725833354,0.08769499975227908,0.02480828233890763,1.3822520714878328,1.3951760720790662,34.00667724609377,14.715936279296898,60.42848205566406,53.73773193359375
1987RIPSTEIN,131,RIPSTEIN,1987,no,Forest,USF,SHF,100.0,1378,459,33.3,189,19870830,19870926.0,0.006337453175177789,0.06882712981215834,0.013205832927418414,1.3760948910493986,1.362595028811985,32.7592712402344,16.101251220703148,31.39263153076172,63.91209411621094
1987RIVER,132,RIVER II,1987,no,Forest,USF,STF,93.81,285,7,2.6,6,19870830,19870904.0,0.02177643267653395,0.05909003702427168,0.03495941832870138,1.37131364250515,1.366620770985821,35.2647644042969,16.916650390625023,46.67045974731445,61.3648796081543
1987SAINT_CLAIRE,134,SAINT CLAIRE,1987,no,Forest,USF,KNF,100.0,3497,114,3.2,17,19870830,19871010.0,0.020966322281747787,0.0842061362960967,0.03856314210650454,1.3798934196194994,1.3615384210440864,37.60308227539065,17.062646484375023,34.73349380493164,62.68798065185547
1987SLATER,136,SLATER,1987,no,Forest,USF,KNF,96.89,2577,328,12.7,99,19870830,19870920.0,0.009985234807430157,0.07535825872682296,0.02264253905793301,1.3741819056450493,1.3637997327277027,40.33742675781252,19.202813720703148,40.18416976928711,76.32703399658203
1987SLIDES,137,SLIDES,1987,no,Forest,USF,MNF,100.0,398,8,2.0,8,19870901,19870919.0,0.01944539369465153,0.08219787235875584,0.03220975834906037,1.3960035612376223,1.384675833373284,29.762872314453148,17.845605468750023,38.135746002197266,62.45378494262695
1987SNAG_CMPLX,138,SNAG COMPLEX,1987,no,Forest,NPS,LNP,0.0,325,29,8.9,11,19870901,19870909.0,0.018586549433287122,0.060864494752278855,0.03145834049261971,1.362359766971856,1.348308970732521,29.045495605468773,8.575555419921898,54.29226303100586,69.11275482177734
1987STRAUSE,139,STRAUSE,1987,no,Forest,USF,SHF,100.0,2646,783,29.6,193,19870830,19871013.0,0.006178826748853279,0.06983069154812555,0.015398737328918858,1.3691397158109584,1.344378100914689,31.743096923828148,15.052270507812523,33.22280502319336,64.97926330566406
1987TEN_BALD,140,TEN BALD,1987,no,Forest,USF,KNF,100.0,7946,969,12.2,86,19870830,19871015.0,0.010146219251459346,0.07054650225121051,0.02267221461109681,1.3685069095318791,1.3472857457548042,38.17934570312502,19.315270996093773,25.345083236694336,73.38868713378906
1987THOMPSON,141,THOMPSON,1987,no,Forest,USF,KNF,100.0,2039,88,4.3,13,19870830,19871020.0,0.01656275931374393,0.06679841316242832,0.032480391013330175,1.3647621861635326,1.3341006243362876,37.91018066406252,19.000573730468773,27.516475677490234,75.91175842285156
1987TRAVIS,142,TRAVIS,1987,no,Forest,USF,SRF,92.86,4781,725,15.2,234,19870831,19870906.0,0.006863796420920868,0.0790454837610709,0.018611523504532334,1.37639927182244,1.3556866539945456,33.61184082031252,18.434991455078148,44.46009826660156,67.16190338134766
1987TRINITY,143,TRINITY,1987,no,Forest,USF,SHF,100.0,570,20,3.4,6,19870830,19870912.0,0.017459493892225824,0.05810003806694732,0.03303832762134075,1.357555850743233,1.3308688780201547,39.60344848632815,15.878472900390648,51.72793197631836,65.988494873046875
1987USF05141987000282,68, ,1987,no,Forest,USF,SHF,100.0,420,24,5.7,12,19870830,19870912.0,0.012569833343409319,0.07573033266002378,0.023456754871378487,1.3617637903888118,1.3208424794985043,36.57503662109377,15.983392333984398,54.088829040527344,61.53147506713867
1987WALLOW,145,WALLOW,1987,no,Forest,USF,SHF,96.05,1395,21,1.5,13,19870830,19870920.0,0.013758817097777716,0.09097255294769699,0.029943515628889503,1.3783296834072494,1.3312074382147734,37.9279724121094,16.830133056640648,47.11341094970703,66.56071472167969
1987YELLOW2,146,YELLOW #2,1987,no,Forest,USF,KNF,99.99,21741,2305,10.6,451,19870830,19871120.0,0.006583012311469504,0.07203493269489201,0.017934797282078047,1.3703658322275283,1.3544223755703866,32.5683532714844,17.022637939453148,28.999393463134766,66.48828125
1988ALASKA,156,ALASKA,1988,yes,Forest,NPS,YNP,0.0,770,8,1.1,4,19880818,19881119.0,0.022900649923022744,0.060585077388963106,0.03999999516736532,1.3567570747849136,1.3429504476000051,25.838708496093773,11.438134765625023,28.136110305786133,68.04457092285156
1988BUCKEYE,160,BUCKEYE,1988,yes,Forest,NPS,KNP,0.0,1290,302,23.4,255,19881016,19881023.0,0.0043913430317158286,0.07987483870819981,0.013313609154529059,1.3762133549990943,1.3457515692688191,27.180444335937523,10.678613281250023,38.371612548828125,55.4954719543457
